Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:21:00,1647638460,3578

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
79,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,10:25:04 23-Feb-2022,10:25:18 23-Feb-2022,00:00:14,4840,-45.0,Unknown,Initializing,1,1,0,0,2170,NA,MTX-06,FSAUS
80,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,10:25:04 23-Feb-2022,10:25:18 23-Feb-2022,00:00:14,4840,-45.0,Unknown,Initializing,1,1,0,0,2170,NA,MTX-06,FSAUS
81,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,10:30:46 23-Feb-2022,10:31:05 23-Feb-2022,00:00:19,4498,-45.0,Unknown,Diag_Recovery,1,1,0,0,2170,NA,MTX-06,FSAUS
82,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,10:30:46 23-Feb-2022,10:31:05 23-Feb-2022,00:00:19,4498,-45.0,Unknown,Diag_Recovery,1,1,0,0,2170,NA,MTX-06,FSAUS
83,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,10:30:47 23-Feb-2022,10:31:06 23-Feb-2022,00:00:19,4497,-45.0,Unknown,Diag_Recovery,1,1,0,0,2170,NA,MTX-06,FSAUS
84,4408,WARNING4408-Zone Right_TS_1A is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,11:41:53 23-Feb-2022,11:41:57 23-Feb-2022,00:00:04,231,50.0,Unknown,Running,1,1,0,0,3578,NA,MTX-06,FSAUS
85,4418,WARNING4418-Zone Right_TS_3B is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,11:41:53 23-Feb-2022,11:41:58 23-Feb-2022,00:00:05,231,50.0,Unknown,Running,1,1,0,0,3578,NA,MTX-06,FSAUS
86,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:45:44 23-Feb-2022,11:46:24 23-Feb-2022,00:00:40,487,50.0,Unknown,Running,1,1,0,0,3578,NA,MTX-06,FSAUS
87,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:45:45 23-Feb-2022,11:46:24 23-Feb-2022,00:00:39,486,50.0,Unknown,Running,1,1,0,0,3578,NA,MTX-06,FSAUS
88,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:45:45 23-Feb-2022,11:46:24 23-Feb-2022,00:00:39,486,50.0,Unknown,Running,1,1,0,0,3578,NA,MTX-06,FSAUS
89,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:53:51 23-Feb-2022,12:00:50 23-Feb-2022,00:06:59,601460,50.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
90,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:53:52 23-Feb-2022,12:00:51 23-Feb-2022,00:06:59,601459,50.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
91,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:53:52 23-Feb-2022,12:00:51 23-Feb-2022,00:06:59,601459,50.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
92,9001,WARNING9001-*Configuration Validation Rule Violation has occurred.,Machine:UI,0,0,Other,0,0,0,0,0,10:58:11 02-Mar-2022,,00:00:00,1050772,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
93,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:04:44 02-Mar-2022,11:05:15 02-Mar-2022,00:00:31,1050379,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
94,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:04:44 02-Mar-2022,11:05:15 02-Mar-2022,00:00:31,1050379,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
95,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,11:04:44 02-Mar-2022,11:05:15 02-Mar-2022,00:00:31,1050379,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
96,10062,WARNING10062-Output_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,15:51:03 14-Mar-2022,15:55:47 14-Mar-2022,00:04:44,340181,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
97,10063,WARNING10063-Testsite_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,15:51:04 14-Mar-2022,15:55:47 14-Mar-2022,00:04:43,340180,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
98,10061,WARNING10061-Input_Ion Ionizers are off,SC1_Handler:MC,0,0,Other,0,0,0,0,0,15:51:04 14-Mar-2022,15:55:48 14-Mar-2022,00:04:44,340180,25.0,Unknown,Diag_Recovery,1,1,0,0,3578,NA,MTX-06,FSAUS
