Export Time, Export Time Seconds, Last Cycle Count
2022-Mar-18-14:17:52,1647631072,37844

IntID,WARNID,Warn Text,Source,Type,Class,Subclass,Annotation,Reboot Count,Reinit Count,Retry Count,Clear Count,Set,Cleared,Elapsed,Response Time,Temperature,E10 Mode,OpMode,Station Mode,Tester Mode,Air P Low,Part Count,Cycle Count,User ID,Handler ID,Site ID
54,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,15:40:57 07-Jan-2022,15:42:00 07-Jan-2022,00:01:03,1371,-45.0,Productive,Running,1,1,0,0,2622,5,MTX-A07,
55,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,16:03:48 07-Jan-2022,16:04:23 07-Jan-2022,00:00:35,1346,-45.0,Productive,Running,1,1,0,0,2822,5,MTX-A07,
56,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,16:26:14 07-Jan-2022,16:26:29 07-Jan-2022,00:00:15,1388,-45.0,Productive,Running,1,1,0,0,3022,5,MTX-A07,
57,6452,WARNING6452-Partial Input Tray Detected at Input TPS2; Please confirm and Clear; or Retry as required.,SC1_Handler:PnP_Input,0,Assist,Other,0,0,0,0,1,16:49:22 07-Jan-2022,16:49:38 07-Jan-2022,00:00:16,1947,-45.0,Productive,Running,1,1,0,0,3222,5,MTX-A07,
58,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,17:22:47 07-Jan-2022,17:23:16 07-Jan-2022,00:00:29,54658,-45.0,Productive,Running,1,1,0,0,3422,NA,MTX-A07,
59,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,17:33:38 07-Jan-2022,17:33:59 07-Jan-2022,00:00:21,54007,25.0,Productive,Initializing,1,1,0,0,3422,NA,MTX-A07,
60,14104,WARNING14104-Boat Chamber will reach temperature more quickly; if the handler is started.,SC1_Handler:Boat_Xport,0,0,Other,0,0,0,0,0,08:33:45 08-Jan-2022,08:41:24 08-Jan-2022,00:07:39,468,25.0,Productive,Running,1,1,0,0,3422,NA,MTX-A07,
61,4437,WARNING4437-Zone Left_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,08:33:57 08-Jan-2022,08:35:58 08-Jan-2022,00:02:01,456,-45.0,Unknown,Running,1,1,0,0,3422,NA,MTX-A07,
62,4438,WARNING4438-Zone Right_Desoak_Shuttle is taking too long to reach setpoint.,SC1_Handler:TCS,0,0,Other,0,0,0,0,0,08:33:57 08-Jan-2022,08:35:48 08-Jan-2022,00:01:51,456,-45.0,Unknown,Running,1,1,0,0,3422,NA,MTX-A07,
63,12731,WARNING12731-Transition Sensor Blocked; Contactor move prohibited.,SC1_Handler:Ts_Contactor,0,0,Other,0,0,0,0,0,08:41:33 08-Jan-2022,08:46:18 08-Jan-2022,00:04:45,238,-45.0,Unknown,Initializing,1,1,0,0,3422,NA,MTX-A07,
